Date,Sentiment_Score,Positive,Negative,Neutral,Total_Sentences,Drift_Score,US2Y,US10Y,SP500_Ret,US2Y_Change,US10Y_Change
2000-02-02,0.1666666666666666,2,1,3,6,0.0,6.63,6.6,-0.0114,3.000000000000025,-2.000000000000046
2000-03-21,0.0,1,1,4,6,0.0410270104929451,6.5,6.13,2.5566,-1.9999999999999574,-4.999999999999982
2000-05-16,-0.1666666666666666,1,2,3,6,0.1862896675869491,6.89,6.43,0.9419000000000001,0.9999999999999787,-4.0000000000000036
2000-06-28,0.6,3,0,2,5,0.7376126664646576,6.43,6.11,0.2944,-7.000000000000028,1.0000000000000675
2000-08-22,0.2,2,1,2,5,0.2517733491748849,6.27,5.78,-0.09,-1.0000000000000675,-0.9999999999999787
2000-10-03,0.4285714285714285,4,1,2,7,0.2993396297421717,6.0,5.87,-0.6803,1.9999999999999574,4.0000000000000036
2000-11-15,0.8,4,0,1,5,0.3288513107994607,5.9,5.72,0.496,-1.9999999999999574,-4.0000000000000036
2000-12-19,0.0,1,1,3,5,0.7048229940252448,5.35,5.19,-1.2958,1.9999999999999574,2.000000000000046
2001-01-03,-0.1428571428571428,1,2,4,7,0.7155524142857392,4.92,5.14,5.0099,4.999999999999982,21.999999999999975
2001-01-31,-0.25,2,4,2,8,0.4377336267842634,4.62,5.19,-0.562,-8.000000000000007,-4.999999999999982
2001-03-20,-0.375,1,4,3,8,0.5479168277063715,4.24,4.78,-2.4077,-8.000000000000007,-4.0000000000000036
2001-04-18,-0.3,2,5,3,10,0.5688791358338317,4.26,5.14,3.8890000000000002,-15.000000000000036,-7.000000000000028
2001-05-15,-0.1111111111111111,3,4,2,9,0.168344184525411,4.28,5.5,0.0416,-0.9999999999999787,4.0000000000000036
2001-06-27,-0.1428571428571428,2,3,2,7,0.4338566666335768,4.06,5.26,-0.46759999999999996,2.999999999999936,1.9999999999999574
2001-08-21,-0.1428571428571428,2,3,2,7,0.1635813555014811,3.69,4.87,-1.208,-5.000000000000027,-4.0000000000000036
2001-09-17,-0.125,2,3,3,8,0.4643780464887032,2.96,4.63,-4.921600000000001,-56.999999999999986,-20.999999999999996
2001-10-02,-0.2857142857142857,1,3,3,7,0.2888173872148019,2.77,4.53,1.2306,-4.999999999999982,-1.9999999999999574
2001-11-06,-0.1666666666666666,1,2,3,6,0.3075941364234428,2.37,4.3,1.4526000000000001,-8.999999999999986,-0.9999999999999787
2001-12-11,-0.2857142857142857,1,3,3,7,0.2656618715003851,3.03,5.13,-0.2781,-7.000000000000028,-4.0000000000000036
2002-01-30,0.1666666666666666,2,1,3,6,0.5201984984983967,3.06,5.02,1.1748,1.000000000000023,0.0
2002-03-19,0.4285714285714285,3,0,4,7,0.734994117764895,3.64,5.33,0.4067,-2.9999999999999805,0.9999999999999787
2002-05-07,0.6,3,0,2,5,0.2383819425846345,3.14,5.09,-0.3021,-4.999999999999982,-0.9999999999999787
2002-06-26,0.6666666666666666,4,0,2,6,0.1543988292083785,2.77,4.75,-0.2674,-14.999999999999991,-12.99999999999999
2002-08-13,0.0,1,1,3,5,0.45604623085347,2.0,4.12,-2.1675,-10.000000000000009,-9.999999999999964
2002-09-24,0.1428571428571428,2,1,4,7,0.233070905796167,1.93,3.69,-1.7284000000000002,0.0,-1.000000000000023
2002-11-06,0.125,3,2,3,8,0.4002817879052927,1.87,4.09,0.9143999999999999,5.000000000000004,-0.9999999999999787
2002-12-10,0.2,2,1,2,5,0.2628670220966324,1.9,4.06,1.3957000000000002,2.0000000000000018,0.0
