Date,Sentiment_Score,Positive,Negative,Neutral,Total_Sentences
2000-02-02,0.16666666666666666,2,1,3,6
2000-03-21,0.0,1,1,4,6
2000-05-16,-0.16666666666666666,1,2,3,6
2000-06-28,0.6,3,0,2,5
2000-08-22,0.2,2,1,2,5
2000-10-03,0.42857142857142855,4,1,2,7
2000-11-15,0.8,4,0,1,5
2000-12-19,0.0,1,1,3,5
2001-01-03,-0.14285714285714285,1,2,4,7
2001-01-31,-0.25,2,4,2,8
2001-03-20,-0.375,1,4,3,8
2001-04-18,-0.3,2,5,3,10
2001-05-15,-0.1111111111111111,3,4,2,9
2001-06-27,-0.14285714285714285,2,3,2,7
2001-08-21,-0.14285714285714285,2,3,2,7
2001-09-17,-0.125,2,3,3,8
2001-10-02,-0.2857142857142857,1,3,3,7
2001-11-06,-0.16666666666666666,1,2,3,6
2001-12-11,-0.2857142857142857,1,3,3,7
2002-01-30,0.16666666666666666,2,1,3,6
2002-03-19,0.42857142857142855,3,0,4,7
2002-05-07,0.6,3,0,2,5
2002-06-26,0.6666666666666666,4,0,2,6
2002-08-13,0.0,1,1,3,5
2002-09-24,0.14285714285714285,2,1,4,7
2002-11-06,0.125,3,2,3,8
2002-12-10,0.2,2,1,2,5
2003-01-29,0.2,2,1,2,5
2003-03-18,0.0,1,1,6,8
2003-05-06,0.0,3,3,2,8
2003-06-25,0.45454545454545453,6,1,4,11
2003-08-12,0.375,5,2,1,8
2003-09-16,0.375,5,2,1,8
2003-10-28,0.375,5,2,1,8
2003-12-09,0.25,4,2,2,8
2004-01-28,0.3333333333333333,5,2,2,9
2004-03-16,0.1111111111111111,4,3,2,9
2004-05-04,0.75,6,0,2,8
2004-06-30,0.7777777777777778,7,0,2,9
2004-08-10,0.6363636363636364,8,1,2,11
2004-09-21,0.7777777777777778,7,0,2,9
2004-11-10,0.5555555555555556,5,0,4,9
2004-12-14,0.45454545454545453,5,0,6,11
2005-02-02,0.625,5,0,3,8
2005-03-22,0.75,6,0,2,8
2005-05-03,0.5555555555555556,6,1,2,9
2005-06-30,0.7142857142857143,5,0,2,7
2005-08-09,0.7142857142857143,5,0,2,7
2005-09-20,0.09090909090909091,5,4,2,11
2005-11-01,0.14285714285714285,3,2,2,7
2005-12-13,0.2857142857142857,3,1,3,7
2006-01-31,0.3333333333333333,3,1,2,6
2006-03-28,0.42857142857142855,4,1,2,7
2006-05-10,0.7142857142857143,5,0,2,7
2006-06-29,0.625,5,0,3,8
2006-08-08,0.0,1,1,2,4
2006-09-20,0.5,2,0,2,4
2006-10-25,0.2,2,1,2,5
2006-12-12,0.2,2,1,2,5
2007-01-31,0.6666666666666666,4,0,2,6
2007-03-21,0.16666666666666666,3,2,1,6
2007-05-09,0.16666666666666666,3,2,1,6
2007-06-18,0.5714285714285714,5,1,1,7
2007-08-07,0.625,6,1,1,8
2007-08-10,-0.3333333333333333,0,1,2,3
2007-08-17,0.3333333333333333,1,0,2,3
2007-09-18,0.14285714285714285,3,2,2,7
2007-10-31,0.25,3,1,4,8
2007-12-11,-0.125,2,3,3,8
2008-01-22,-0.375,1,4,3,8
2008-01-30,-0.14285714285714285,2,3,2,7
2008-03-11,0.2857142857142857,5,1,8,14
2008-03-18,-0.09090909090909091,4,5,2,11
2008-04-30,-0.1,3,4,3,10
2008-06-25,0.125,4,3,1,8
2008-08-05,0.0,3,3,2,8
2008-09-16,-0.2222222222222222,2,4,3,9
2008-10-08,-0.26666666666666666,4,8,3,15
2008-10-29,-0.25,2,4,2,8
2008-12-16,-0.14285714285714285,4,6,4,14
2009-01-28,-0.07142857142857142,5,6,3,14
2009-03-18,0.08333333333333333,6,5,1,12
2009-04-29,-0.07692307692307693,4,5,4,13
2009-06-24,0.25,6,3,3,12
2009-08-12,0.07692307692307693,5,4,4,13
2009-09-23,0.3333333333333333,6,2,4,12
2009-11-04,0.23076923076923078,6,3,4,13
2009-12-16,0.0,5,5,5,15
2010-01-27,-0.06666666666666667,4,5,6,15
2010-03-16,0.0,4,4,3,11
2010-04-28,-0.2,3,5,2,10
2010-05-09,0.5,5,0,5,10
2010-06-23,-0.5,2,7,1,10
2010-08-10,-0.5,1,7,4,12
2010-09-21,-0.38461538461538464,3,8,2,13
2010-11-03,-0.17647058823529413,5,8,4,17
2010-12-14,-0.3333333333333333,3,8,4,15
2011-01-26,-0.3076923076923077,3,7,3,13
2011-03-15,0.0,5,5,4,14
2011-04-27,0.2857142857142857,7,3,4,14
2011-06-22,0.06666666666666667,5,4,6,15
2011-08-09,-0.1111111111111111,5,7,6,18
2011-09-21,-0.09523809523809523,5,7,9,21
2011-11-02,-0.2,4,7,4,15
2011-12-13,-0.07692307692307693,4,5,4,13
