Date,Year,Date_Description,URL
2000-02-02,2000,Statement,https://www.federalreserve.gov/boarddocs/press/general/2000/20000202/
2000-03-21,2000,Statement,https://www.federalreserve.gov/boarddocs/press/general/2000/20000321/
2000-05-16,2000,Statement,https://www.federalreserve.gov/boarddocs/press/general/2000/20000516/
2000-06-28,2000,Statement,https://www.federalreserve.gov/boarddocs/press/general/2000/20000628/
2000-08-22,2000,Statement,https://www.federalreserve.gov/boarddocs/press/general/2000/20000822/
2000-10-03,2000,Statement,https://www.federalreserve.gov/boarddocs/press/general/2000/20001003/
2000-11-15,2000,Statement,https://www.federalreserve.gov/boarddocs/press/general/2000/20001115/
2000-12-19,2000,Statement,https://www.federalreserve.gov/boarddocs/press/general/2000/20001219/
2001-01-03,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20010103/
2001-01-31,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20010131/
2001-03-20,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20010320/
2001-04-18,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20010418/
2001-05-15,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20010515/
2001-06-27,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20010627/
2001-08-21,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20010821/
2001-09-17,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20010917/
2001-10-02,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20011002/
2001-11-06,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20011106/
2001-12-11,2001,Statement,https://www.federalreserve.gov/boarddocs/press/general/2001/20011211/
2002-01-30,2002,Statement,https://www.federalreserve.gov/boarddocs/press/general/2002/20020130/
2002-03-19,2002,Statement,https://www.federalreserve.gov/boarddocs/press/general/2002/20020319/
2002-05-07,2002,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20020507/
2002-06-26,2002,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20020626/
2002-08-13,2002,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20020813/
2002-09-24,2002,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20020924/
2002-11-06,2002,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20021106/
2002-12-10,2002,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20021210/
2003-01-29,2003,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030129/default.htm
2003-03-18,2003,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030318/default.htm
2003-05-06,2003,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030506/default.htm
2003-06-25,2003,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030625/default.htm
2003-08-12,2003,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030812/default.htm
2003-09-16,2003,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030916/default.htm
2003-10-28,2003,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20031028/default.htm
2003-12-09,2003,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20031209/default.htm
2004-01-28,2004,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040128/default.htm
2004-03-16,2004,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040316/default.htm
2004-05-04,2004,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040504/default.htm
2004-06-30,2004,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040630/default.htm
2004-08-10,2004,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040810/default.htm
2004-09-21,2004,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040921/default.htm
2004-11-10,2004,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2004/20041110/default.htm
2004-12-14,2004,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2004/20041214/default.htm
2005-02-02,2005,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2005/20050202/default.htm
2005-03-22,2005,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2005/20050322/default.htm
2005-05-03,2005,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2005/20050503/default.htm
2005-06-30,2005,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2005/20050630/default.htm
2005-08-09,2005,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2005/20050809/default.htm
2005-09-20,2005,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2005/20050920/
2005-11-01,2005,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2005/20051101/
2005-12-13,2005,Statement,https://www.federalreserve.gov/boarddocs/press/monetary/2005/20051213/
2006-01-31,2006,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20060131a.htm
2006-03-28,2006,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20060328a.htm
2006-05-10,2006,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20060510a.htm
2006-06-29,2006,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20060629a.htm
2006-08-08,2006,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20060808a.htm
2006-09-20,2006,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20060920a.htm
2006-10-25,2006,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20061025a.htm
2006-12-12,2006,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20061212a.htm
2007-01-31,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20070131a.htm
2007-03-21,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20070321a.htm
2007-05-09,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20070509a.htm
2007-06-18,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20070618a.htm
2007-08-07,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20070807a.htm
2007-08-10,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20070810a.htm
2007-08-17,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20070817b.htm
2007-09-18,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20070918a.htm
2007-10-31,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20071031a.htm
2007-12-11,2007,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20071211a.htm
2008-01-22,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20080122b.htm
2008-01-30,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20080130a.htm
2008-03-11,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20080311a.htm
2008-03-18,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20080318a.htm
2008-04-30,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20080430a.htm
2008-06-25,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20080625a.htm
2008-08-05,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20080805a.htm
2008-09-16,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20080916a.htm
2008-10-08,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20081008a.htm
2008-10-29,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20081029a.htm
2008-12-16,2008,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20081216b.htm
2009-01-28,2009,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20090128a.htm
2009-03-18,2009,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20090318a.htm
2009-04-29,2009,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20090429a.htm
2009-06-24,2009,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20090624a.htm
2009-08-12,2009,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20090812a.htm
2009-09-23,2009,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20090923a.htm
2009-11-04,2009,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20091104a.htm
2009-12-16,2009,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20091216a.htm
2010-01-27,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20100127a.htm
2010-03-16,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20100316a.htm
2010-04-28,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20100428a.htm
2010-05-09,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20100509a.htm
2010-06-23,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20100623a.htm
2010-08-10,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20100810a.htm
2010-09-21,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20100921a.htm
2010-11-03,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20101103a.htm
2010-12-14,2010,Statement,https://www.federalreserve.gov/newsevents/press/monetary/20101214a.htm
2011-01-26,2011,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110126a.htm
2011-03-15,2011,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110315a.htm
2011-04-27,2011,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110427a.htm
2011-06-22,2011,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110622a.htm
2011-08-09,2011,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110809a.htm
2011-09-21,2011,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110921a.htm
2011-11-02,2011,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20111102a.htm
2011-12-13,2011,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20111213a.htm
2012-01-25,2012,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120125a.htm
2012-03-13,2012,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120313a.htm
2012-04-25,2012,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120425a.htm
2012-06-20,2012,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120620a.htm
2012-08-01,2012,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120801a.htm
2012-09-13,2012,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120913a.htm
2012-10-24,2012,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20121024a.htm
2012-12-12,2012,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20121212a.htm
2013-01-30,2013,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130130a.htm
2013-03-20,2013,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130320a.htm
2013-05-01,2013,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130501a.htm
2013-06-19,2013,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130619a.htm
2013-07-31,2013,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130731a.htm
2013-09-18,2013,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130918a.htm
2013-10-30,2013,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20131030a.htm
2013-12-18,2013,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20131218a.htm
2014-01-29,2014,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140129a.htm
2014-03-19,2014,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140319a.htm
2014-04-30,2014,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140430a.htm
2014-06-18,2014,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140618a.htm
2014-07-30,2014,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140730a.htm
2014-09-17,2014,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140917a.htm
2014-10-29,2014,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20141029a.htm
2014-12-17,2014,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20141217a.htm
2015-01-28,2015,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150128a.htm
2015-03-18,2015,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150318a.htm
2015-04-29,2015,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150429a.htm
2015-06-17,2015,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150617a.htm
2015-07-29,2015,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150729a.htm
2015-09-17,2015,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150917a.htm
2015-10-28,2015,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20151028a.htm
2015-12-16,2015,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20151216a.htm
2016-01-27,2016,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127a.htm
2016-03-16,2016,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160316a.htm
2016-04-27,2016,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160427a.htm
2016-06-15,2016,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160615a.htm
2016-07-27,2016,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160727a.htm
2016-09-21,2016,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160921a.htm
2016-11-02,2016,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20161102a.htm
2016-12-14,2016,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20161214a.htm
2017-02-01,2017,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170201a.htm
2017-03-15,2017,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170315a.htm
2017-05-03,2017,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170503a.htm
2017-06-14,2017,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170614a.htm
2017-07-26,2017,Statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170726a.htm
